iter	Passed	Remaining
0	144	144809
1	145	72705
2	146	48631
3	146	36556
4	147	29346
5	148	24529
6	148	21090
7	149	18517
8	149	16513
9	150	14918
10	151	13603
11	151	12506
12	152	11580
13	153	10783
14	153	10096
15	154	9493
16	154	8962
17	155	8487
18	156	8066
19	156	7684
20	157	7319
21	157	7004
22	158	6731
23	158	6456
24	159	6216
25	160	6005
26	160	5800
27	161	5609
28	162	5430
29	162	5263
30	163	5111
31	164	4965
32	164	4827
33	165	4698
34	165	4575
35	166	4462
36	167	4352
37	167	4241
38	168	4143
39	168	4046
40	169	3956
41	169	3871
42	170	3791
43	170	3715
44	171	3635
45	171	3564
46	172	3505
47	173	3443
48	174	3377
49	174	3324
50	175	3266
51	176	3211
52	176	3158
53	177	3104
54	177	3054
55	178	3006
56	179	2961
57	179	2916
58	180	2873
59	180	2827
60	181	2787
61	181	2742
62	181	2699
63	182	2662
64	182	2627
65	183	2593
66	183	2559
67	185	2545
68	186	2514
69	186	2478
70	187	2448
71	188	2435
72	189	2407
73	190	2381
74	190	2354
75	191	2329
76	192	2304
77	192	2279
78	193	2255
79	194	2231
80	194	2208
81	195	2185
82	195	2163
83	196	2141
84	196	2120
85	197	2100
86	198	2079
87	198	2059
88	199	2037
89	199	2018
90	200	2000
91	200	1982
92	201	1963
93	201	1945
94	203	1939
95	204	1924
96	205	1909
97	205	1893
98	206	1877
99	206	1862
100	207	1846
101	208	1832
102	208	1814
103	208	1799
104	209	1785
105	210	1772
106	210	1758
107	211	1745
108	211	1732
109	212	1717
110	212	1704
111	213	1692
112	214	1681
113	214	1669
114	215	1657
115	216	1646
116	216	1634
117	217	1623
118	219	1622
119	220	1613
120	220	1604
121	220	1590
122	221	1579
123	222	1569
124	222	1559
125	223	1549
126	223	1539
127	224	1530
128	225	1520
129	225	1511
130	226	1502
131	227	1492
132	227	1483
133	228	1475
134	228	1466
135	229	1457
136	230	1449
137	230	1440
138	231	1432
139	231	1423
140	232	1415
141	234	1414
142	234	1407
143	237	1409
144	237	1401
145	238	1393
146	238	1386
147	239	1378
148	239	1369
149	240	1361
150	240	1354
151	241	1347
152	242	1340
153	242	1333
154	243	1326
155	243	1319
156	244	1313
157	245	1306
158	245	1299
159	246	1292
160	246	1286
161	247	1279
162	248	1273
163	249	1272
164	250	1267
165	251	1262
166	251	1256
167	252	1250
168	252	1243
169	253	1237
170	254	1231
171	254	1226
172	255	1220
173	255	1215
174	256	1209
175	257	1203
176	257	1198
177	258	1193
178	259	1188
179	259	1182
180	260	1177
181	260	1172
182	261	1167
183	261	1161
184	262	1157
185	263	1152
186	264	1148
187	264	1144
188	265	1139
189	266	1135
190	267	1130
191	267	1126
192	268	1121
193	268	1116
194	269	1112
195	269	1107
196	270	1102
197	271	1098
198	271	1093
199	272	1089
200	272	1084
201	273	1080
202	274	1076
203	274	1071
204	275	1067
205	275	1063
206	276	1058
207	277	1055
208	277	1051
209	278	1047
210	279	1043
211	280	1042
212	281	1038
213	281	1034
214	282	1030
215	282	1026
216	283	1023
217	284	1019
218	284	1015
219	285	1011
220	285	1007
221	286	1004
222	288	1005
223	289	1001
224	289	998
225	290	994
226	290	990
227	291	987
228	292	983
229	292	980
230	293	976
231	293	973
232	295	972
233	296	969
234	296	966
235	297	963
236	298	959
237	298	956
238	299	953
239	299	949
240	300	946
241	301	943
242	301	940
243	302	937
244	303	934
245	303	930
246	304	927
247	304	924
248	305	921
249	306	918
250	306	915
251	307	912
252	307	909
253	308	905
254	309	903
255	310	902
256	311	900
257	311	897
258	312	894
259	313	891
260	313	888
261	314	885
262	315	882
263	315	879
264	316	877
265	316	874
266	317	871
267	318	868
268	318	865
